title,ingredients,steps,time,cuisine,diet
Paneer Butter Masala,"paneer, tomato, onion, butter, cream, garam masala, chili",Saute onion tomato spices; add paneer and cream.,30,indian,veg
Palak Paneer,"spinach, paneer, onion, tomato, garlic, ginger, spices",Cook spinach; blend; simmer with paneer.,25,indian,veg
Chana Masala,"chickpeas, onion, tomato, garlic, ginger, chili, garam masala",Cook onion tomato; add chickpeas and spices.,30,indian,veg
Aglio e Olio,"spaghetti, garlic, olive oil, chili flakes, parsley, salt",Cook pasta; toss with garlic oil and chili.,15,italian,veg
Veg Fried Rice,"rice, carrot, beans, peas, soy sauce, garlic, spring onion",Stir-fry veggies; add rice and sauce.,20,chinese,veg
Chicken Curry,"chicken, onion, tomato, garlic, ginger, spices",Cook onion tomato; add chicken and simmer.,35,indian,non-veg
Veg Pulao,"rice, peas, carrot, beans, cumin, garam masala",Cook spiced rice with vegetables.,25,indian,veg
Tomato Soup,"tomato, onion, garlic, butter, cream, pepper",Simmer and blend; finish with cream.,20,american,veg
Masala Omelette,"egg, onion, tomato, chili, coriander, salt",Beat eggs; cook with masala veggies.,10,indian,non-veg
Vegan Buddha Bowl,"quinoa, chickpeas, avocado, cucumber, spinach, tahini",Cook quinoa; assemble with veggies and sauce.,20,mediterranean,vegan
Tacos,"tortillas, beans, tomato, lettuce, cheese, salsa",Warm tortillas; fill with beans and toppings.,18,mexican,veg
Stir-fry Tofu,"tofu, broccoli, bell pepper, soy sauce, garlic, ginger",Stir-fry tofu and veggies; add sauce.,22,chinese,vegan
Paneer Tikka,"paneer, yogurt, ginger garlic paste, chili powder, garam masala, lemon, capsicum, onion, oil, salt",Marinate paneer and veggies with spiced yogurt; skewer; grill or roast until charred.,25,indian,veg
Dal Tadka,"toor dal, onion, tomato, garlic, cumin, mustard, turmeric, ghee, chili, coriander","Pressure cook dal; temper ghee with cumin, mustard, garlic and chili; mix with dal and simmer.",30,indian,veg
Rajma Masala,"kidney beans, onion, tomato, ginger, garlic, chili, garam masala, cumin, oil, salt",Cook soaked rajma; make onion‑tomato masala; simmer with spices until thick.,40,indian,veg
Aloo Gobi,"potato, cauliflower, onion, tomato, ginger, turmeric, cumin, coriander powder, chili, oil, salt",Sauté spices; add potatoes and cauliflower; cook covered until tender.,25,indian,veg
Bhindi Masala,"okra, onion, tomato, cumin, chili, coriander powder, amchur, oil, salt",Stir‑fry okra separately; cook onion‑tomato masala; combine and finish with amchur.,22,indian,veg
Baingan Bharta,"eggplant, onion, tomato, garlic, green chili, cumin, oil, coriander",Roast eggplant; mash; cook with onion‑tomato‑spice base until smoky.,30,indian,veg
Veg Biryani,"basmati rice, mixed vegetables, yogurt, fried onion, biryani masala, saffron, mint, ghee, whole spices",Parboil rice; layer with spiced veggies and fried onion; dum cook until aromatic.,45,indian,veg
